,cities,iter,Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0,50,0,1,0.5559723169326782,80.11,0.38522599935531615,87.31
1,50,0,2,0.4515648483276367,83.78,0.3824107684135437,87.87
2,50,0,3,0.43206638221740723,85.03,0.3621371862411499,87.96
3,50,0,4,0.41976676292419435,85.27,0.36230339822769164,87.87
4,50,0,5,0.4104292970657349,85.25,0.3552879506111145,87.98
5,50,1,1,0.4090181359291077,85.48,0.3598644476890564,88.11
6,50,1,2,0.4055284019947052,85.52,0.3580962297439575,88.01
7,50,1,3,0.402894180059433,85.39,0.35799256772995,88.69
8,50,1,4,0.3896513383388519,86.11,0.34145377912521363,88.54
9,50,1,5,0.3863675663948059,86.3,0.3468398445129395,88.38
10,50,2,1,0.3903488374710083,86.22,0.3369994037628174,89.07
11,50,2,2,0.3840252800941467,86.43,0.3440907014846802,88.82
12,50,2,3,0.39461989912986756,86.3,0.3331850559234619,88.95
13,50,2,4,0.38589942321777343,86.06,0.34754269180297853,88.64
14,50,2,5,0.3848095221042633,86.16,0.33496396675109863,88.76
15,50,3,1,0.37345456314086917,86.51,0.322475435256958,89.12
16,50,3,2,0.3718268590450287,86.82,0.33262732172012327,88.96
17,50,3,3,0.37771524090766906,86.77,0.32804961614608763,88.99
18,50,3,4,0.3678638282775879,86.68,0.32910034008026123,89.06
19,50,3,5,0.37422868654727937,86.76,0.33232896099090575,88.72
20,50,4,1,0.36752018613815307,86.78,0.3422058650016785,88.87
21,50,4,2,0.3645997567176819,86.97,0.32336673822402956,88.91
22,50,4,3,0.3642332962989807,86.98,0.32857891101837156,89.17
23,50,4,4,0.3641305859565735,87.06,0.3309251003265381,88.95
24,50,4,5,0.3671552494525909,86.82,0.3285425555229187,88.84
25,50,5,1,0.3603272900104523,87.46,0.3266291269302368,89.08
26,50,5,2,0.3613904842376709,87.11,0.3386139899253845,88.72
27,50,5,3,0.36192690303325653,86.96,0.3199843762397766,89.23
28,50,5,4,0.36101863842010495,87.22,0.3190613296508789,89.2
29,50,5,5,0.35960220279693605,87.18,0.3158524436950684,89.66
30,50,6,1,0.35777812242507934,87.25,0.3175030490875244,89.44
31,50,6,2,0.359205526971817,87.2,0.3248910964012146,88.82
32,50,6,3,0.35744228529930117,87.47,0.31836830711364744,89.18
33,50,6,4,0.360421365070343,87.13,0.3202986723899841,88.83
34,50,6,5,0.35654345178604124,87.54,0.35845152502059935,88.87
35,50,7,1,0.35819918808937073,87.44,0.3173139743804932,89.38
36,50,7,2,0.3578922665596008,87.32,0.3317459273338318,89.0
37,50,7,3,0.3546772366046905,87.41,0.3094321862220764,89.59
38,50,7,4,0.3562026676416397,87.23,0.32326337785720827,88.94
39,50,7,5,0.35313387289047243,87.23,0.3058187211036682,89.68
40,50,8,1,0.35418652629852293,87.64,0.3165979015350342,89.5
41,50,8,2,0.37066454448699954,86.63,0.3192908534049988,88.99
42,50,8,3,0.3614643934965134,87.05,0.32081273317337033,89.38
43,50,8,4,0.34842878165245056,87.7,0.32041092710494995,89.05
44,50,8,5,0.3483219678878784,87.76,0.3289309184074402,88.89
45,50,9,1,0.3535216697692871,87.55,0.31699305562973024,89.22
46,50,9,2,0.3557562005519867,87.34,0.3066360198020935,89.66
47,50,9,3,0.35006671216487883,87.82,0.32321205606460574,89.4
48,50,9,4,0.34888311712741854,87.24,0.3145711595535278,89.52
49,50,9,5,0.34560715055465696,87.45,0.3178600287437439,89.2
