,cities,iter,Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0,50,0,1,0.7079368318080902,74.42,0.38410387563705445,88.19
1,50,0,2,0.43773050651550294,84.42,0.3654016874551773,88.26
2,50,0,3,0.41556658220291137,85.02,0.35118882454633715,88.61
3,50,0,4,0.406718963432312,85.12,0.35753009296059607,88.69
4,50,0,5,0.4062520170748234,85.6,0.37617026869058606,88.17
5,50,1,1,0.40394986534118654,85.75,0.3481791103363037,88.64
6,50,1,2,0.39395672235488893,85.59,0.3502250502586365,88.92
7,50,1,3,0.3922769449770451,86.08,0.34400310218334196,89.05
8,50,1,4,0.38792225522994994,85.99,0.3471719990968704,88.78
9,50,1,5,0.39169573316574097,85.98,0.3417560729324818,88.92
10,50,2,1,0.37495066134929655,86.05,0.3368323493540287,88.88
11,50,2,2,0.390087263584137,85.9,0.3494185605764389,88.98
12,50,2,3,0.38647374401092527,86.08,0.33841792120933534,88.93
13,50,2,4,0.38614210109710695,86.06,0.3427866032600403,88.69
14,50,2,5,0.38232750635147095,86.23,0.32964784904718397,89.14
15,50,3,1,0.3662568943977356,86.87,0.3288310939788818,88.9
16,50,3,2,0.3744162224769592,86.04,0.3366802910447121,89.04
17,50,3,3,0.3718950103878975,86.63,0.34184861629605295,89.05
18,50,3,4,0.36548805494308473,86.93,0.32557941448688504,89.07
19,50,3,5,0.37097426958084107,86.41,0.33214223289489747,89.46
20,50,4,1,0.362266887485981,86.81,0.31663609693646433,89.04
21,50,4,2,0.3607348553180695,86.43,0.31852827538251877,89.14
22,50,4,3,0.3595150200843811,87.16,0.3280896987020969,89.1
23,50,4,4,0.3651023244380951,86.36,0.3244566908478737,88.64
24,50,4,5,0.3613739075660706,86.92,0.3370610071778297,89.03
25,50,5,1,0.3612953402519226,86.67,0.3442148244380951,88.38
26,50,5,2,0.3615638736963272,87.13,0.3232576278924942,88.88
27,50,5,3,0.3590215888977051,86.65,0.32950842386484147,88.68
28,50,5,4,0.3640859813928604,86.82,0.3204355431318283,89.07
29,50,5,5,0.35794586691856384,86.83,0.32731905198693273,89.1
30,50,6,1,0.3524152785539627,87.16,0.323598173224926,89.28
31,50,6,2,0.3507724113225937,87.2,0.32305541948080063,89.31
32,50,6,3,0.3516209496974945,87.25,0.32548084934353827,88.93
33,50,6,4,0.36066783437728883,86.96,0.3320014923810959,88.85
34,50,6,5,0.36104745926856996,86.86,0.31968216631412505,89.34
35,50,7,1,0.35737064590454104,86.72,0.3188534045934677,89.06
36,50,7,2,0.34527110393047333,87.55,0.32335164833068847,89.06
37,50,7,3,0.34919959840774534,87.37,0.3117613419830799,89.35
38,50,7,4,0.35041452157497405,87.31,0.3228008242666721,88.88
39,50,7,5,0.3465655945777893,87.23,0.304822060239315,89.37
40,50,8,1,0.34670160710811615,87.55,0.30944619387984273,89.36
41,50,8,2,0.3465608432292938,87.4,0.3143985825836659,89.28
42,50,8,3,0.3464921094894409,87.22,0.3085192282795906,89.38
43,50,8,4,0.3448230366230011,87.54,0.3079439184546471,89.41
44,50,8,5,0.3515526650428772,87.19,0.3079232088983059,89.31
45,50,9,1,0.3515626106262207,87.02,0.315361341881752,89.18
46,50,9,2,0.34854972224235536,87.56,0.32129267815351487,88.97
47,50,9,3,0.3506839684009552,87.35,0.31779400576353073,89.3
48,50,9,4,0.34596192660331726,87.11,0.31463882970809937,88.93
49,50,9,5,0.3425934531390667,87.52,0.3137979791581631,89.15
