,cities,iter,Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0,50,0,1,1.1803852670669555,65.62,0.5608550931930542,82.98
1,50,0,2,0.6306276298046112,79.45,0.5592548177719117,83.11
2,50,0,3,0.6082051875114441,79.91,0.5879517020225525,83.18
3,50,0,4,0.6065719150543213,79.89,0.5681308618545532,82.92
4,50,0,5,0.5958783071517945,80.42,0.5613397624969483,83.23
5,50,1,1,1.231101443862915,63.95,0.5760975702285767,82.72
6,50,1,2,0.6212004363059997,79.83,0.5523760181427002,82.93
7,50,1,3,0.6033147192001342,80.2,0.5533726271629333,83.62
8,50,1,4,0.6096736316204071,80.25,0.538604030418396,83.54
9,50,1,5,0.5841996252536774,80.59,0.5328162441253662,83.76
10,50,2,1,1.1927117163658143,65.1,0.5624978507995605,82.89
11,50,2,2,0.6210253269195557,79.74,0.5573080940246582,83.17
12,50,2,3,0.6116837184906005,80.35,0.5743232419967651,82.91
13,50,2,4,0.6157741237640381,79.56,0.559373963546753,83.36
14,50,2,5,0.5853684188842774,80.6,0.5462557624816895,83.49
15,50,3,1,1.2289780534744263,64.29,0.5847989192962646,82.81
16,50,3,2,0.6273206004142762,79.61,0.5509157243728637,83.06
17,50,3,3,0.6100660203933715,79.81,0.5870603158950806,83.29
18,50,3,4,0.6324328166484833,79.68,0.5752528240203857,82.83
19,50,3,5,0.6134555128097534,79.64,0.6062045370101928,83.02
20,50,4,1,1.241002312040329,64.75,0.5907466650009155,82.6
21,50,4,2,0.6264739466667175,79.28,0.5520418090820313,83.42
22,50,4,3,0.6126201854705811,79.94,0.5687680248260498,83.51
23,50,4,4,0.6085763415336609,79.93,0.555235366821289,83.41
24,50,4,5,0.6060712833404541,80.05,0.5498645792007446,83.54
25,50,5,1,1.2444083971977233,64.33,0.5692750415802001,82.91
26,50,5,2,0.618309726524353,79.89,0.5484261001586914,83.11
27,50,5,3,0.6114951399087906,80.37,0.5692415962219238,83.27
28,50,5,4,0.6009501401901245,80.29,0.57460137758255,83.63
29,50,5,5,0.6013983587265015,80.41,0.562143523979187,83.28
30,50,6,1,1.240240616416931,64.02,0.5705298852920532,82.87
31,50,6,2,0.6158211913108825,79.57,0.5823008834838868,82.89
32,50,6,3,0.6254204580783844,79.27,0.557935136604309,82.97
33,50,6,4,0.6039432529449463,80.22,0.6090011585235595,82.57
34,50,6,5,0.5939466126918793,80.41,0.5433837965011596,83.58
35,50,7,1,1.2262104665756226,64.43,0.5659800188064575,82.91
36,50,7,2,0.6096746175289154,79.79,0.5552318229675293,82.94
37,50,7,3,0.6064584663391114,80.25,0.5517592066764831,83.4
38,50,7,4,0.607885269832611,80.09,0.5877703936576844,83.55
39,50,7,5,0.5994379186630249,80.46,0.5786786260604858,83.62
40,50,8,1,1.2367179068565368,63.86,0.5642660301208496,83.08
41,50,8,2,0.6241069742918014,79.37,0.5508979211807251,83.06
42,50,8,3,0.6106823510169983,79.51,0.5435092983245849,83.44
43,50,8,4,0.5926937380313874,80.38,0.5390619365692139,83.62
44,50,8,5,0.5967410464286804,80.72,0.5396344245910645,83.75
45,50,9,1,1.2113502199172974,64.82,0.59842464427948,82.9
46,50,9,2,0.6223391246795654,79.65,0.5985207597732544,83.12
47,50,9,3,0.6170180501937866,80.04,0.5542742790222168,83.45
48,50,9,4,0.5949339154243469,80.19,0.5440431312561035,83.59
49,50,9,5,0.5942654684066773,80.7,0.5591659837722779,83.51
